,trail_id,name,area_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,units,lat,lng,ada,beach,cave,city-walk,dogs,dogs-leash,dogs-no,forest,historic-site,hot-springs,kids,lake,partially-paved,paved,rails-trails,river,strollers,views,waterfall,wild-flowers,wildlife,backpacking,bike-touring,birding,camping,canoeing,cross-country-skiing,fishing,fly-fishing,hiking,horseback-riding,ice-climbing,mountain-biking,nature-trips,off-road-driving,paddle-sports,rails-trails,road-biking,rock-climbing,scenic-driving,sea-kayaking,skiing,snowboarding,snowshoeing,surfing,trail-running,walking,whitewater-kayaking,Elevation_gain_yards,Elevation_gain_Meters,Length_Meters,Length_Yards
0,10020048,Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,24.8931,15610.598,1161.8976,5,out and back,3,5,423,i,60.18852,-149.63156,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1161.8976,1062.439165,14274.33081,15610.598
1,10236086,Mount Healy Overlook Trail,Denali National Park,Denali National Park,Alaska,United States,18.0311,6920.162,507.7968,3,out and back,1,4.5,260,i,63.73049,-148.91968,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,507.7968,464.32939392000003,6327.796133,6920.162
2,10267857,Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,17.7821,2896.812,81.9912,1,out and back,3,4.5,224,i,60.18879,-149.631,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81.9912,74.97275328,2648.844893,2896.812
3,10236076,Horseshoe Lake Trail,Denali National Park,Denali National Park,Alaska,United States,16.2674,3379.614,119.7864,1,loop,2,4.5,237,i,63.73661,-148.915,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,119.7864,109.5326842,3090.319042,3379.614
4,10236082,Triple Lakes Trail,Denali National Park,Denali National Park,Alaska,United States,12.5935,29772.79,1124.712,5,out and back,1,4.5,110,i,63.73319,-148.89682,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1124.712,1028.436653,27224.23918,29772.79
5,10241620,Bison Gulch,Denali National Park,Denali National Park,Alaska,United States,8.8331,11265.38,1178.9664,5,out and back,1,4.5,43,i,63.80507,-148.95336,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.9664,1078.046876,10301.06347,11265.38
6,10236080,Rock Creek Trail,Denali National Park,Denali National Park,Alaska,United States,7.6876,7081.096,287.7312,3,out and back,1,4,39,i,63.73056,-148.91955,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,287.7312,263.1014093,6474.954182,7081.096
7,10236075,Taiga Trail,Denali National Park,Denali National Park,Alaska,United States,5.9038,2574.944,62.7888,3,loop,1,4,27,i,63.73043,-148.91922,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,62.7888,57.41407872,2354.528794,2574.944
8,10236084,McKinley Station Trail,Denali National Park,Denali National Park,Alaska,United States,5.8885,4667.086,113.9952,1,loop,1,4.5,21,i,63.73324,-148.89659,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,113.9952,104.23721087999999,4267.583438,4667.086
9,10327620,Mount Thorofare Ridge Loop,Denali National Park,Cantwell,Alaska,United States,5.799,6598.294,507.7968,5,loop,1,4.5,5,i,63.43108,-150.31096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.7968,464.32939392000003,6033.480034,6598.294
10,10265252,McKinley Bar Trail,Denali National Park,Denali National Park,Alaska,United States,5.6536,7402.964,295.9608,1,out and back,2,4,17,i,63.45799,-150.85,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,295.9608,270.6265555,6769.270282,7402.964
11,10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4.6043,4828.02,158.8008,3,loop,2,4.5,15,i,63.73128,-148.9171,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,158.8008,145.2074515,4414.741488000001,4828.02
12,10265251,Blueberry Hill Trail,Denali National Park,Denali National Park,Alaska,United States,4.1956,1448.406,46.9392,3,out and back,2,4.5,6,i,63.49541,-150.88137,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9392,42.92120448,1324.422446,1448.406
13,10393562,Stampede Trail to Sushana River,Denali National Park,Healy,Alaska,United States,3.958,61476.788,1292.9616,5,out and back,1,4.5,3,i,63.88374,-149.26764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292.9616,1182.284087,56214.37495,61476.788
14,10262541,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,3.8939,1770.274,33.8328,1,loop,2,4.5,14,i,58.45462,-135.88312,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,33.8328,30.936712319999998,1618.738546,1770.274
15,10358126,Camp Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,3.6654,6759.228,538.8864,5,out and back,1,5,8,i,63.52451,-150.96072,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,538.8864,492.75772415999995,6180.638083,6759.228
16,10236078,Jonesville Trail,Denali National Park,Denali National Park,Alaska,United States,3.4891,1448.406,52.7304,1,out and back,1,4,11,i,63.73334,-148.89618,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.7304,48.21667776,1324.422446,1448.406
17,10343441,Roadside Trail,Denali National Park,Denali National Park,Alaska,United States,3.3846,5471.756,214.884,1,out and back,2,4,13,i,63.73034,-148.91945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,214.884,196.48992959999998,5003.373686,5471.756
18,10023165,Quigley Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,3.304,14644.994,730.9104,3,out and back,,4.5,5,i,63.52444,-150.96015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,730.9104,668.3444697599999,13391.38251,14644.994
19,10333569,Bison Gulch to Denali Visitors Center,Denali National Park,Denali National Park,Alaska,United States,2.7746,15771.532,1385.9256,5,point to point,2,5,5,i,63.80495,-148.95416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.9256,1267.290369,14421.488860799998,15771.532
20,10347459,Brooks Falls,Katmai National Park,King Salmon,Alaska,United States,2.4937,4667.086,63.7032,1,out and back,2,4.5,4,i,58.55986,-155.77752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63.7032,58.250206080000005,4267.583438,4667.086
21,10302108,Bartlett River Trail,Glacier Bay National Park,Gustavus,Alaska,United States,2.33,11104.446,266.7,1,out and back,1,3,7,i,58.4543,-135.86902,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,266.7,243.87048,10153.90542,11104.446
22,10333558,McKinley Station and Morino Loop Trail,Denali National Park,Denali National Park,Alaska,United States,2.0877,1448.406,33.8328,3,loop,2,3,4,i,63.7315,-148.91785,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.8328,30.936712319999998,1324.422446,1448.406
