,PID,SalePrice
0,907135180,123932.76
1,528181040,222276.77
2,528175010,221356.84
3,531379030,192104.06
4,923275090,124679.13
5,528181070,243467.52
6,908103280,134318.88
7,902201110,121882.74
8,905103070,136450.66
9,527162180,179816.6
10,905450020,183879.78
11,535301150,137739.73
12,535451170,93858.46
13,909250060,195018.19
14,527254020,371623.53
15,911128180,90492.52
16,534475170,186051.36
17,535402180,115583.51
18,528235180,172691.25
19,907200130,136210.48
20,906476030,177580.7
21,923203090,159726.92
22,903454020,78859.48
23,534277060,114919.625
24,535450220,133520.25
25,527252090,323222.4
26,535300040,133355.3
27,533241010,214775.05
28,903201090,112718.914
29,921128030,341441.7
30,535180020,145104.75
31,527106050,166565.97
32,903233050,125841.12
33,527105010,166052.69
34,907196050,200725.92
35,535375010,81729.39
36,909455040,198424.33
37,911370410,295659.94
38,906223080,221252.03
39,902204080,90248.0
40,916225130,331282.5
41,534400060,175372.38
42,528178090,350467.56
43,528235190,189289.42
44,906477110,141912.14
45,902106090,149463.17
46,535327160,121817.43
47,909129100,115905.54
48,909281110,261485.28
49,528188120,167326.02
50,528150120,312344.84
51,535125060,208803.2
52,906380120,185004.34
53,527451020,125511.95
54,528429100,276423.44
55,527132090,325338.2
56,902427045,111735.7
57,923276260,137989.92
58,907290140,140135.92
59,906380100,321780.34
60,527377110,187326.3
61,535379110,131125.05
62,527427230,178481.08
63,905105010,133600.67
64,533215080,287125.53
65,903484080,103085.016
66,528441080,250330.5
67,528120100,244241.33
68,902301060,120592.69
69,528231050,187845.64
70,535353190,150934.72
71,907201280,129034.12
72,528315080,297140.34
73,531375060,158418.2
74,906200230,151514.77
75,527451550,122578.805
76,902103090,85871.125
77,534401190,145147.73
78,909425085,261050.88
79,526352080,192095.72
80,907126050,145833.36
81,905352180,210245.31
82,533212060,143583.48
83,527356050,118859.51
84,534479240,138060.55
85,906226130,154580.62
86,923228210,77672.85
87,903227080,123510.37
88,535179120,116534.29
89,908201100,82924.92
90,532479050,132382.58
91,534402060,141366.73
92,902109160,113545.664
93,904302030,143320.56
94,902300215,134094.67
95,903228070,108647.91
96,902406070,144092.56
97,907410020,192283.03
98,528365090,349897.2
99,534450110,55641.45
100,527146135,382856.8
101,535325340,145299.83
102,534452060,121300.63
103,535325090,129139.86
104,534202130,129940.875
105,528118020,338199.3
106,527214050,496768.4
107,907401060,198930.03
108,905104210,123860.95
109,905225080,248068.83
110,535178060,137682.48
111,914476450,203182.03
112,533250050,262578.7
113,535450070,154787.28
114,528181060,240854.64
115,535454100,123117.12
116,534476080,145875.64
117,909452114,252291.53
118,903476090,145506.06
119,904101040,119975.875
120,534431030,136081.83
121,910202060,106145.414
122,916386090,234516.38
123,527451460,101896.016
124,528290120,196186.34
125,531375090,142319.86
126,527403040,134618.75
127,535453020,144876.9
128,911175360,101643.07
129,528228545,178097.47
130,534275100,126162.234
131,528142040,285894.25
132,527357110,150221.14
133,528480170,278408.2
134,905226030,113108.28
135,905104110,136171.36
136,528480070,272575.88
137,528386040,466259.94
138,535453100,139113.61
139,907192030,198143.9
140,905478030,134093.27
141,527210050,482342.8
142,535382020,98219.83
143,528110070,324732.06
144,902303100,154954.22
145,903456090,89643.62
146,528186080,289036.3
147,909275310,341178.2
148,908128100,183771.06
149,908102140,124643.56
150,531385060,183309.78
151,902103100,131770.81
152,528106010,370065.22
153,534430080,126469.76
154,533252130,183224.67
155,528458160,380241.16
156,902300110,101355.07
157,528228275,198489.39
158,907130060,167020.12
159,905105190,125591.62
160,908225240,109153.875
161,528480060,287555.66
162,526355170,252347.06
163,902105010,112422.69
164,903225160,131955.38
165,924151050,233813.77
166,535456010,141099.48
167,907130110,179429.33
168,909451040,101332.15
169,535126140,209308.19
170,533253050,160595.11
171,905480240,97033.164
172,905479110,111339.836
173,903233140,124450.12
174,909254070,205420.42
175,907250020,258285.2
176,908102260,145666.17
177,527403360,123235.27
178,906225210,137746.73
179,527359010,165381.44
180,905100030,146069.33
181,909250030,131319.42
182,908225320,129744.21
183,905201030,81457.85
184,914474020,240859.28
185,532479020,130253.24
186,528228575,251768.28
187,527107240,168912.0
188,533253210,191254.11
189,527127150,187601.0
190,531450120,191155.36
191,905427050,193389.38
192,527258010,415855.44
193,906476140,167139.34
194,533236090,216758.8
195,908103090,102027.06
196,908250090,110599.266
197,528181010,240194.84
198,907227090,127224.375
199,527302185,282007.1
200,535426150,148215.95
201,909254100,158130.42
202,531382120,207939.16
203,921201060,273940.34
204,528180140,336442.84
205,905402090,148552.16
206,902207120,106966.445
207,902134100,79714.16
208,908178050,241690.94
209,535451210,114033.914
210,528114050,352411.97
211,907203010,132296.45
212,534151175,239105.02
213,908228040,114914.58
214,902110080,135120.86
215,923277040,126550.28
216,908204160,87888.63
217,905402110,134835.12
218,905102060,128185.336
219,902402010,140466.28
220,527107130,197426.33
221,909251030,148778.27
222,903225040,132824.45
223,902405120,123542.836
224,534201280,129844.25
225,527451290,97920.99
226,905451390,163853.44
227,528456200,205440.81
228,902110130,91665.41
229,528112010,278810.8
230,905226130,156713.8
231,905108120,134967.02
232,532353120,119212.06
233,528120030,338646.84
234,527450110,102177.9
235,533244040,307682.03
236,910205120,105225.484
237,535452100,127546.664
238,528106050,424325.44
239,909100170,86459.39
240,531453040,206041.98
241,535304060,130944.16
242,528431120,244665.6
243,904100170,158345.0
244,528218090,172204.0
245,527131110,275414.28
246,533208010,202203.19
247,906226080,154580.62
248,535152200,135931.02
249,528231020,186023.19
250,911128010,100840.3
251,527455250,118116.48
252,535403150,144161.31
253,533251110,323551.78
254,535457010,154282.05
255,528110040,459661.7
256,923252080,119863.87
257,909101010,134227.67
258,535177110,192820.61
259,528354050,298324.25
260,528235000,171616.77
261,909252150,144088.33
262,909275110,213228.25
263,534427040,150729.22
264,535151080,132872.72
265,923226320,85023.3
266,535450210,133749.81
267,905403050,85386.28
268,535382150,85375.69
269,535176070,144475.42
270,905103140,145319.55
271,534201260,132536.64
272,531451110,135090.78
273,528348010,281814.1
274,527212050,464714.3
275,532377130,140630.08
276,535325320,115043.766
277,535383110,95771.234
278,531450030,192813.38
279,903401020,184892.1
280,531363050,140321.5
281,528358030,367428.03
282,528456230,206536.1
283,903227140,130251.59
284,909179020,260062.89
285,905202090,130736.0
286,535453040,132186.03
287,535302130,140236.2
288,528480040,260100.97
289,905104180,124168.34
290,534451050,114123.09
291,531452010,131356.89
292,923228220,80806.97
293,903233100,137679.19
294,906392080,179801.67
295,903232090,152703.31
296,903426200,162476.7
297,903451110,130316.98
298,909250150,166779.4
299,527180040,173432.66
300,909253080,187782.83
301,534431130,126959.4
302,921205070,330584.12
303,527105060,171778.12
304,528290140,191513.8
305,527451110,114657.25
306,903201080,177315.53
307,921128050,381210.5
308,905101330,132448.1
309,909250200,153458.1
310,916403020,189006.97
311,535151020,127061.67
312,908152290,134410.89
313,535355100,127820.6
314,923400125,131747.48
315,903227020,123121.54
316,528322020,337146.94
317,909451140,121852.71
318,909451020,101332.15
319,908225290,141132.97
320,532377100,132516.06
321,534129380,150870.72
322,902304040,158774.95
323,534276180,121940.97
324,528222040,185696.19
325,528176070,315373.8
326,902400110,440099.03
327,903233030,121326.555
328,531367050,213172.7
329,907227300,123182.5
330,923226290,74239.73
331,906340080,291579.8
332,533206050,204447.7
333,535304170,122865.36
334,528315060,273527.66
335,923276030,135857.73
336,907270050,258415.98
337,902109080,123564.7
338,904100030,143603.23
339,528439050,238327.72
340,534401110,129486.336
341,908275040,134925.55
342,902300040,133645.88
343,527302020,229606.53
344,534477110,175793.92
345,527325090,196447.22
346,902106130,104063.77
347,528164040,333434.66
348,906203140,229810.58
349,535375040,88466.11
350,527455060,147054.56
351,535451250,131755.31
352,907131190,203488.03
353,923425030,127323.51
354,911204090,92442.54
355,907290160,140135.92
356,909451100,124785.84
357,534426040,138866.1
358,916386180,208111.42
359,907405030,219662.48
360,903226060,167043.73
361,528315070,280457.5
362,527210030,496502.3
363,533212050,146229.61
364,528228460,165222.39
365,535105060,178150.16
366,906392070,181989.69
367,914476130,165524.1
368,908275180,122483.984
369,533236040,187816.33
370,533254110,306054.3
371,534455030,166165.06
372,528321010,371032.28
373,528435060,266953.1
374,535403200,122462.875
375,528110020,514155.8
376,907194130,207402.69
377,528186190,235413.36
378,902206040,115861.07
379,921128020,387390.9
380,533250110,246614.64
381,534479300,122750.055
382,534225120,150019.56
383,903425245,204026.98
384,533130170,367469.8
385,909100080,118094.05
386,923230180,132370.47
387,533223020,165496.78
388,905106170,126757.43
389,907202220,139044.94
390,907251100,248212.81
391,527163010,179373.6
392,526353030,274653.03
393,903425420,126368.12
394,528108070,337132.53
395,903401030,152187.12
396,531375110,142029.14
397,904301410,105985.31
398,902204120,120491.086
399,904302020,94224.57
400,902202090,123861.91
401,528344020,304040.78
402,908103260,129963.766
403,909251170,155595.33
404,911370450,282890.8
405,903456110,184475.6
406,908276230,104251.82
407,535105160,130344.48
408,902207130,83034.195
409,923228230,74827.34
410,903457040,192756.58
411,908102130,124234.195
412,535151040,138365.94
413,921126010,314570.56
414,534276010,120488.74
415,534204030,125167.53
416,911104060,57591.266
417,903450110,86030.63
418,527328050,155232.8
419,910206010,86548.695
420,527451400,100296.71
421,907290090,217953.4
422,531363030,157132.56
423,528218080,183218.53
424,527451200,114161.85
425,903427120,155017.83
426,534431020,136611.95
427,535153140,181557.95
428,534403290,197821.75
429,534479120,136355.38
430,907135040,150728.48
431,533350050,362633.3
432,535451110,121445.055
433,533213070,169711.97
434,916384100,260158.77
435,535126040,223080.9
436,909282060,198020.6
437,528427100,246570.27
438,534430090,112996.586
439,528348030,281030.5
440,923228390,64571.477
441,908186050,131638.86
442,531452100,151340.27
443,902207150,111234.664
444,528120160,273725.03
445,535354130,134910.66
446,533208090,174557.89
447,535381060,102983.26
448,527452190,150695.28
449,903233120,127356.17
450,905109130,259151.66
451,909281030,127981.43
452,910203250,88202.875
453,528294010,180671.6
454,528172020,279399.1
455,535380010,160115.0
456,916382010,223497.94
457,532479140,141060.39
458,905452040,165281.4
459,534475185,155816.38
460,534178010,126276.53
461,527212040,360033.1
462,909175030,149152.81
463,531479030,116884.586
464,902100130,98975.61
465,909101070,69426.31
466,902109130,108976.32
467,528365070,313659.28
468,534276360,136739.58
469,527180100,193233.89
470,527455100,144598.39
471,902301130,113790.25
472,532378120,119907.03
473,903455140,118655.62
474,910201050,139663.1
475,923400040,170926.98
476,914476430,161306.22
477,533206070,220758.27
478,909451130,101332.15
479,903226150,118523.19
480,534400050,171180.97
481,908102160,135734.89
482,533236050,196430.16
483,528488140,203783.3
484,906380010,186035.88
485,903454090,140743.53
486,535450310,172198.5
487,531371070,184839.17
488,531477050,107303.9
489,905103180,139233.1
490,902402130,112563.875
491,531452260,185248.25
492,527376110,167007.78
493,909250220,128147.26
494,527427160,158727.16
495,907202050,182243.0
496,531379050,213714.17
497,528240030,189503.39
498,903430090,136508.22
499,534127080,229490.39
500,907265100,233406.98
501,527405130,109175.586
502,532351050,120971.52
503,535305030,114719.77
504,535450190,117802.92
505,527355280,205808.64
506,906380190,180447.14
507,907203090,137812.25
508,908203100,100526.91
509,905200260,157308.19
510,906475170,275800.4
511,909201110,132623.27
512,534126090,211127.55
513,907200190,154400.6
514,534430050,124061.516
515,909201180,112759.945
516,528108130,387573.34
517,909276200,150122.55
518,916402015,187003.0
519,904100190,88047.24
520,532353130,121056.25
521,527145090,193871.0
522,535375130,103472.164
523,533254100,210090.98
524,528142110,347191.2
525,528235200,178694.39
526,923202015,202725.72
527,905451340,99443.5
528,528218100,188583.73
529,528240130,196351.38
530,911370540,265049.88
531,909175050,183178.92
532,907410040,223151.27
533,528108010,278792.78
534,531376030,185646.58
535,905453080,208142.06
536,906226120,148284.19
537,908154080,360565.06
538,534451120,96592.16
539,535478090,118376.63
540,903206170,161664.9
541,902406030,118671.695
542,907414040,184142.14
543,911102170,98147.32
544,923225360,96435.234
545,902106040,156731.42
546,534477090,155035.89
547,906378150,307637.88
548,535325460,248411.92
549,534275220,127428.74
550,535353140,136162.77
551,907412020,200616.27
552,528358040,297114.75
553,906380200,178655.86
554,903231080,108453.695
555,907275080,254445.34
556,533212110,151035.22
557,904301110,96799.32
558,531363040,156593.17
559,535104120,183802.4
560,527427110,154245.33
561,527354050,158482.17
562,907420060,184356.14
563,905101300,107459.516
564,528435050,256465.42
565,903234160,96648.336
566,534177230,213268.6
567,923228270,74239.73
568,535427070,252428.66
569,527455050,150879.67
570,535155110,140974.95
571,923226270,90469.71
572,909251090,236658.3
573,535304100,141397.92
574,916380070,311537.28
575,534201230,134771.34
576,535179160,135391.17
577,531451020,173036.97
578,528344060,269175.6
579,535402220,180677.97
580,903226160,124626.61
581,902107050,118714.32
582,905480030,125711.836
583,527183060,188079.78
584,909252110,192757.45
585,902111010,104140.0
586,535404080,113999.695
587,908188140,134577.06
588,907285010,222663.89
589,905352030,244656.61
590,535175050,161994.78
591,906425045,172393.53
592,535152060,131462.61
593,903204040,129986.945
594,903458020,94500.07
595,923204040,136219.34
596,903236200,115735.92
597,535457020,156488.86
598,527451380,117973.09
599,531375140,135471.11
600,528174060,184839.05
601,903400180,196651.61
602,903227150,136073.11
603,909250070,166328.33
604,909425180,195973.89
