,PID,SalePrice
0,907135180,138426.167451119
1,528181040,231597.30015136086
2,528175010,230698.16898554578
3,531379030,195673.95193486975
4,923275090,122903.4422120548
5,528181070,233742.2938882716
6,908103280,149546.59264369725
7,902201110,130683.40578539042
8,905103070,141861.46186854516
9,527162180,181450.4449720897
10,905450020,168199.37032215827
11,535301150,150993.91392838946
12,535451170,87623.287521768
13,909250060,211464.99332502697
14,527254020,337437.3920253223
15,911128180,64555.04705522052
16,534475170,187664.94013249126
17,535402180,111276.7543674401
18,528235180,170450.52464935635
19,907200130,124056.83992460916
20,906476030,185855.38386615572
21,923203090,141101.40531106363
22,903454020,71190.06163206762
23,534277060,112863.0263763158
24,535450220,130522.87227212814
25,527252090,336949.3606016307
26,535300040,137071.68669889247
27,533241010,219545.36890118098
28,903201090,120125.7484692422
29,921128030,415794.7703595881
30,535180020,146277.99855639847
31,527106050,164647.60782544067
32,903233050,139645.3030673145
33,527105010,175121.32468697164
34,907196050,211887.5757554143
35,535375010,86455.05544074709
36,909455040,184854.93689481463
37,911370410,250424.64021898792
38,906223080,202761.23602509891
39,902204080,83326.45609251256
40,916225130,292563.98871101555
41,534400060,156602.28207607535
42,528178090,346241.7340066482
43,528235190,189133.0486429285
44,906477110,147574.5781914022
45,902106090,115804.34291389694
46,535327160,105558.10046583849
47,909129100,126823.98456206307
48,909281110,227264.38391618966
49,528188120,197784.29677879828
50,528150120,326493.35684316605
51,535125060,216983.1272706684
52,906380120,209609.00036696182
53,527451020,118392.24653725578
54,528429100,280034.3738617274
55,527132090,258233.92531443865
56,902427045,102508.43461242251
57,923276260,140131.1898977326
58,907290140,141869.8343714203
59,906380100,324935.9864281422
60,527377110,181682.03313920746
61,535379110,127024.29310196383
62,527427230,157516.07521708598
63,905105010,131406.80246602307
64,533215080,287715.77827009186
65,903484080,55961.72957255889
66,528441080,257198.7434922468
67,528120100,254727.50318163668
68,902301060,93258.92782475075
69,528231050,200891.2689795225
70,535353190,142165.60261630436
71,907201280,145966.87000921296
72,528315080,316846.68532480986
