PID,SalePrice
907135180,137211.9929
528181040,230873.034
528175010,229504.4438
531379030,191518.4788
923275090,125628.7001
528181070,233552.9096
908103280,138308.7747
902201110,112331.4825
905103070,134952.0475
527162180,181482.2274
905450020,176150.5065
535301150,149454.7835
535451170,88627.7333
909250060,220862.1976
527254020,332027.5351
911128180,63899.63176
534475170,174987.524
535402180,106590.72
528235180,173503.902
907200130,132143.9976
906476030,163838.1197
923203090,136285.072
903454020,79989.74471
534277060,113323.8793
535450220,142227.2599
527252090,351270.0004
535300040,143935.253
533241010,217040.5388
903201090,132420.4626
921128030,412930.8094
535180020,149470.5064
527106050,166578.2326
903233050,139152.6482
527105010,171793.2298
907196050,209350.1474
535375010,79232.44838
909455040,184442.5919
911370410,236460.2709
906223080,202481.717
902204080,89446.47098
916225130,288832.7794
534400060,161717.0072
528178090,333125.3831
528235190,188030.4436
906477110,138670.5532
902106090,132318.1332
535327160,111822.7407
909129100,128539.0722
909281110,224013.0481
528188120,199661.6099
528150120,325271.8349
535125060,212278.6659
906380120,210399.3554
527451020,121180.3316
528429100,276947.9271
527132090,283401.1718
902427045,95451.29814
923276260,138195.5204
907290140,125937.7912
906380100,321560.3365
527377110,177322.4362
535379110,128265.8187
527427230,148124.292
905105010,126586.2069
533215080,294636.6385
903484080,58782.72501
528441080,258209.2071
528120100,259155.4536
902301060,103758.6204
528231050,192669.7147
535353190,151346.2651
907201280,145893.2162
528315080,315134.2891
531375060,185150.6419
906200230,165983.0136
527451550,113459.7302
902103090,113814.5319
534401190,140748.633
909425085,247226.6186
526352080,180652.7148
907126050,158284.6667
905352180,203323.5252
533212060,138243.6767
527356050,121762.9211
534479240,148676.3552
906226130,144319.4091
923228210,78353.69161
903227080,123119.4289
535179120,116187.7552
908201100,91690.21777
532479050,133446.7735
534402060,132027.0492
902109160,138765.8694
904302030,111702.8342
902300215,116303.7766
903228070,100677.7891
902406070,132363.1172
907410020,200920.2888
528365090,338037.4918
534450110,58257.62937
527146135,350902.327
535325340,149723.2763
534452060,106061.9985
535325090,124366.5807
534202130,127251.9699
528118020,342427.9754
527214050,423475.8329
907401060,213511.5526
905104210,113468.7804
905225080,216750.174
535178060,146512.1361
914476450,181045.1409
533250050,248840.5002
535450070,152278.5474
528181060,241813.3609
535454100,137126.389
534476080,153828.7964
909452114,220382.9447
903476090,116908.4814
904101040,119935.4483
534431030,142688.7219
910202060,101212.5834
916386090,250086.364
527451460,103923.4021
528290120,195230.853
531375090,142583.0252
527403040,143233.8552
535453020,139111.7419
911175360,97623.13179
528228545,184355.4765
534275100,122897.1656
528142040,379084.2881
527357110,128744.2904
528480170,280865.1961
905226030,115426.7496
905104110,128982.1148
528480070,257897.352
528386040,401264.8172
535453100,128543.1838
907192030,198836.5287
905478030,136281.4394
527210050,401358.2381
535382020,155177.0305
528110070,304216.3535
902303100,154733.6854
903456090,73694.58609
528186080,332875.3186
909275310,279471.4284
908128100,178125.1117
908102140,124805.0419
531385060,178826.402
902103100,125627.3213
528106010,397979.5595
534430080,139564.7812
533252130,220636.5539
528458160,339658.2623
902300110,117856.3109
528228275,197654.2002
907130060,165227.7113
905105190,128269.6622
908225240,108409.6008
528480060,264215.6726
526355170,243169.5507
902105010,103945.7579
903225160,127643.3153
924151050,205308.0879
535456010,136329.0001
907130110,177441.5348
909451040,109207.5444
535126140,188432.9393
533253050,173248.891
905480240,107252.0968
905479110,103172.0686
903233140,124589.4582
909254070,196645.4012
907250020,263291.1707
908102260,134049.3438
527403360,114045.137
906225210,159281.6125
527359010,162745.5327
905100030,147248.2206
909250030,125799.3857
908225320,132870.8574
905201030,85700.8995
914474020,223652.9642
532479020,139274.7429
528228575,245895.5517
527107240,170586.352
533253210,191559.421
527127150,244709.8959
531450120,193914.2319
905427050,180702.5838
527258010,381875.9823
906476140,153284.5696
533236090,384305.2892
908103090,112293.6463
908250090,104297.0871
528181010,198207.9408
907227090,144192.8073
527302185,245718.6483
535426150,152925.2403
909254100,181325.1877
531382120,198640.4462
921201060,278543.1759
528180140,373278.9216
905402090,166471.5805
902207120,69741.60903
902134100,82103.54063
908178050,204238.6336
535451210,123358.3823
528114050,309576.8814
907203010,140229.5122
534151175,222354.3776
908228040,115294.7016
902110080,135245.9811
923277040,132442.4914
908204160,90967.18387
905402110,133227.5756
905102060,108082.0605
902402010,131851.5543
527107130,207981.5269
909251030,182911.9495
903225040,114948.1532
902405120,124876.3859
534201280,129553.3398
527451290,93255.8259
905451390,156867.9639
528456200,252107.1592
902110130,102412.4532
528112010,265538.8428
905226130,152982.2474
905108120,142433.3562
532353120,115032.2986
528120030,357189.6392
527450110,100507.4523
533244040,297543.2292
910205120,107519.1036
535452100,130325.4076
528106050,388803.9654
909100170,104266.7058
531453040,184671.6407
535304060,114620.5494
528431120,283669.7399
904100170,166991.5102
528218090,175713.2846
527131110,299603.6974
533208010,202950.3456
906226080,143879.7276
535152200,124727.8342
528231020,189139.9712
911128010,98647.28566
527455250,126576.5756
535403150,150983.1067
533251110,305528.1308
535457010,171165.1811
528110040,404084.0904
923252080,118662.9348
909101010,132530.8409
535177110,183068.0736
528354050,298948.5428
528235000,183488.1435
909252150,161183.3994
909275110,199149.237
534427040,158997.4344
535151080,142975.6729
923226320,94709.24354
535450210,141271.8083
905403050,84868.55076
535382150,77911.64956
535176070,148923.183
905103140,145913.3335
534201260,147630.223
531451110,114012.56
528348010,322679.0327
527212050,420929.282
532377130,140776.7587
535325320,121096.4324
535383110,101172.2342
531450030,191261.2477
903401020,176367.7844
531363050,153003.1891
528358030,349490.2579
528456230,222510.6969
903227140,120791.8338
909179020,181693.0236
905202090,122812.1274
535453040,117090.8441
535302130,128095.7355
528480040,251373.3935
905104180,123522.2264
534451050,117263.0611
531452010,113485.6599
923228220,88882.68107
903233100,142267.9211
906392080,187030.8508
903232090,149162.2393
903426200,160967.0304
903451110,125090.6658
909250150,195614.1497
527180040,185599.6718
909253080,188399.2189
534431130,119992.5716
921205070,295326.972
527105060,170154.2616
528290140,186662.7464
527451110,116613.5427
903201080,171367.6569
921128050,357730.499
905101330,116330.7121
909250200,146892.0141
916403020,216628.6318
535151020,137548.7925
908152290,125471.1417
535355100,95795.02602
923400125,140713.3717
903227020,118668.2429
528322020,340530.2912
909451140,125787.7634
909451020,109317.3967
908225290,129372.7999
532377100,122794.4738
534129380,146645.4206
902304040,145507.5972
534276180,118778.6333
528222040,205703.985
528176070,309435.6755
902400110,371333.6572
903233030,120384.7491
531367050,213981.4104
907227300,140162.6312
923226290,73424.28555
906340080,266353.5837
533206050,181199.9506
535304170,144926.9865
528315060,298075.2363
923276030,129326.4433
907270050,272646.1941
902109080,110094.6345
904100030,139094.3184
528439050,258383.5606
534401110,130522.5934
908275040,132879.4057
902300040,124346.799
527302020,259925.0897
